,ID,hourtime,daytime,new_date,new_days,new_months,new_years,Type,real_fatal
1415,2004.09.10,05,Morning,2004.09.10,10,Sep,2004,Invalid,NO
1416,2004.09.08,NoDoc,NotDoc,2004.09.08,08,Sep,2004,Unprovoked,YES
1417,2004.09.04,15,Afternoon,2004.09.04,04,Sep,2004,Unprovoked,NO
1418,2004.08.29,17,Sunset,2004.08.29,29,Ago,2004,Unprovoked,NO
1419,2004.08.21,13,Afternoon,2004.08.21,21,Ago,2004,Unprovoked,NO
1420,2004.08.20,17,Sunset,2004.08.20,20,Ago,2004,Unprovoked,NO
1421,2004.08.15,16,Afternoon,2004.08.15,15,Ago,2004,Unprovoked,YES
1422,2004.08.06,20,Sunset,2004.08.06,06,Ago,2004,Unprovoked,NO
1423,2004.08.03,14,Afternoon,2004.08.03,03,Ago,2004,Unprovoked,NO
1424,2004.08.00,NoDoc,NotDoc,2004.08.00,NotDoc,Ago,2004,Boat,NO
1425,2004.07.31,13,Afternoon,2004.07.31,31,Jul,2004,Unprovoked,NO
1426,2004.07.30,NoDoc,NotDoc,2004.07.30,30,Jul,2004,Unprovoked,NO
1427,2004.07.28,17,Sunset,2004.07.28,28,Jul,2004,Unprovoked,NO
